date,product,region,units,revenue
2026-12-28,Gadget-Y,West,149,13441.27
2026-01-01,Doohickey,Central,436,10536.15
2026-02-02,Widget-A,North,364,34015.51
2026-03-03,Widget-B,South,327,8390.23
2026-04-04,Gadget-X,East,186,10374.71
2026-05-05,Gadget-Y,West,63,6215.07
2026-06-06,Doohickey,Central,406,9130.5
2026-07-07,Widget-A,North,405,22053.05
2026-08-08,Widget-B,South,185,11072.61
2026-09-09,Gadget-X,East,189,9838.68
2026-10-10,Gadget-Y,West,283,6132.44
2026-11-11,Doohickey,Central,453,8040.48
2026-12-12,Widget-A,North,159,7286.08
2026-01-13,Widget-B,South,368,27485.28
2026-02-14,Gadget-X,East,270,12679.62
2026-03-15,Gadget-Y,West,210,17659.01
2026-04-16,Doohickey,Central,38,808.24
2026-05-17,Widget-A,North,163,11051.48
2026-06-18,Widget-B,South,231,11992.36
2026-07-19,Gadget-X,East,265,10864.03
2026-08-20,Gadget-Y,West,450,38072.18
2026-09-21,Doohickey,Central,283,19122.72
2026-10-22,Widget-A,North,94,7434.49
2026-11-23,Widget-B,South,67,3278.02
2026-12-24,Gadget-X,East,467,41156.26
2026-01-25,Gadget-Y,West,426,9016.08
2026-02-26,Doohickey,Central,79,2951.54
2026-03-27,Widget-A,North,83,3239.45
2026-04-28,Widget-B,South,364,11022.77
2026-05-01,Gadget-X,East,486,46010.28
2026-06-02,Gadget-Y,West,459,16319.45
2026-07-03,Doohickey,Central,41,1334.32
2026-08-04,Widget-A,North,326,31316.1
2026-09-05,Widget-B,South,141,2997.0
2026-10-06,Gadget-X,East,156,10185.01
2026-11-07,Gadget-Y,West,48,2650.64
2026-12-08,Doohickey,Central,87,5502.99
2026-01-09,Widget-A,North,298,7112.51
2026-02-10,Widget-B,South,338,22373.28
2026-03-11,Gadget-X,East,462,29777.06
2026-04-12,Gadget-Y,West,432,40238.07
2026-05-13,Doohickey,Central,22,1853.75
2026-06-14,Widget-A,North,15,259.5
2026-07-15,Widget-B,South,486,32912.33
2026-08-16,Gadget-X,East,296,10007.47
2026-09-17,Gadget-Y,West,108,8533.76
2026-10-18,Doohickey,Central,214,14042.63
2026-11-19,Widget-A,North,16,877.01
2026-12-20,Widget-B,South,322,19027.62
2026-01-21,Gadget-X,East,329,31613.12
2026-02-22,Gadget-Y,West,248,7943.19
2026-03-23,Doohickey,Central,414,29658.62
2026-04-24,Widget-A,North,153,7773.77
2026-05-25,Widget-B,South,353,5429.91
2026-06-26,Gadget-X,East,226,10711.49
2026-07-27,Gadget-Y,West,238,6747.79
2026-08-28,Doohickey,Central,311,7128.18
2026-09-01,Widget-A,North,442,32992.06
2026-10-02,Widget-B,South,376,37190.95
2026-11-03,Gadget-X,East,177,17305.94
2026-12-04,Gadget-Y,West,67,5256.14
2026-01-05,Doohickey,Central,264,15982.19
2026-02-06,Widget-A,North,164,5206.41
2026-03-07,Widget-B,South,63,2145.93
2026-04-08,Gadget-X,East,127,2878.96
2026-05-09,Gadget-Y,West,26,938.84
2026-06-10,Doohickey,Central,197,17289.66
2026-07-11,Widget-A,North,215,6951.88
2026-08-12,Widget-B,South,444,40491.9
2026-09-13,Gadget-X,East,417,16454.5
2026-10-14,Gadget-Y,West,296,22167.9
2026-11-15,Doohickey,Central,98,7709.75
2026-12-16,Widget-A,North,256,25504.58
2026-01-17,Widget-B,South,240,13170.81
2026-02-18,Gadget-X,East,158,8651.03
2026-03-19,Gadget-Y,West,47,4467.86
2026-04-20,Doohickey,Central,259,13245.46
2026-05-21,Widget-A,North,124,3639.77
2026-06-22,Widget-B,South,181,2600.83
2026-07-23,Gadget-X,East,145,7906.92
2026-08-24,Gadget-Y,West,452,38802.6
2026-09-25,Doohickey,Central,345,18058.27
2026-10-26,Widget-A,North,275,2949.64
2026-11-27,Widget-B,South,56,2731.32
2026-12-28,Gadget-X,East,452,15274.24
2026-01-01,Gadget-Y,West,188,14802.58
2026-02-02,Doohickey,Central,188,2643.62
2026-03-03,Widget-A,North,27,1655.51
2026-04-04,Widget-B,South,100,4261.71
2026-05-05,Gadget-X,East,148,2457.96
2026-06-06,Gadget-Y,West,259,13085.17
2026-07-07,Doohickey,Central,282,9916.49
2026-08-08,Widget-A,North,320,22792.28
2026-09-09,Widget-B,South,61,1315.75
2026-10-10,Gadget-X,East,50,2272.07
2026-11-11,Gadget-Y,West,407,40211.96
2026-12-12,Doohickey,Central,286,27025.68
2026-01-13,Widget-A,North,387,8890.96
2026-02-14,Widget-B,South,309,17245.61
2026-03-15,Gadget-X,East,257,3498.53
2026-04-16,Gadget-Y,West,20,446.47
2026-05-17,Doohickey,Central,171,14081.32
2026-06-18,Widget-A,North,266,13597.65
2026-07-19,Widget-B,South,311,28105.65
2026-08-20,Gadget-X,East,72,2844.5
2026-09-21,Gadget-Y,West,314,12138.52
2026-10-22,Doohickey,Central,202,20027.37
2026-11-23,Widget-A,North,379,32527.36
2026-12-24,Widget-B,South,304,12240.14
2026-01-25,Gadget-X,East,425,23742.31
2026-02-26,Gadget-Y,West,251,18517.92
2026-03-27,Doohickey,Central,154,8120.47
2026-04-28,Widget-A,North,9,388.28
2026-05-01,Widget-B,South,345,6849.77
2026-06-02,Gadget-X,East,214,13379.96
2026-07-03,Gadget-Y,West,408,37078.65
2026-08-04,Doohickey,Central,447,32145.53
2026-09-05,Widget-A,North,14,891.97
2026-10-06,Widget-B,South,136,13195.59
2026-11-07,Gadget-X,East,401,39087.52
2026-12-08,Gadget-Y,West,297,18407.2
2026-01-09,Doohickey,Central,370,5406.43
2026-02-10,Widget-A,North,246,6232.68
2026-03-11,Widget-B,South,323,24191.56
2026-04-12,Gadget-X,East,397,34020.93
2026-05-13,Gadget-Y,West,76,6379.4
2026-06-14,Doohickey,Central,125,1603.92
2026-07-15,Widget-A,North,486,35495.92
2026-08-16,Widget-B,South,98,1146.05
2026-09-17,Gadget-X,East,161,7676.52
2026-10-18,Gadget-Y,West,212,15292.62
2026-11-19,Doohickey,Central,211,11637.44
2026-12-20,Widget-A,North,314,29150.78
2026-01-21,Widget-B,South,447,38595.74
2026-02-22,Gadget-X,East,373,5817.05
2026-03-23,Gadget-Y,West,71,4023.68
2026-04-24,Doohickey,Central,288,11302.4
2026-05-25,Widget-A,North,340,18034.75
2026-06-26,Widget-B,South,193,7377.95
2026-07-27,Gadget-X,East,89,4571.01
2026-08-28,Gadget-Y,West,273,11138.24
2026-09-01,Doohickey,Central,182,12888.91
2026-10-02,Widget-A,North,445,33318.58
2026-11-03,Widget-B,South,330,27165.18
2026-12-04,Gadget-X,East,136,8825.98
2026-01-05,Gadget-Y,West,99,9518.89
2026-02-06,Doohickey,Central,143,8611.15
2026-03-07,Widget-A,North,116,10987.95
2026-04-08,Widget-B,South,153,12147.54
2026-05-09,Gadget-X,East,361,10340.85
2026-06-10,Gadget-Y,West,361,19494.1
2026-07-11,Doohickey,Central,246,10180.04
2026-08-12,Widget-A,North,479,45070.88
2026-09-13,Widget-B,South,370,12802.44
2026-10-14,Gadget-X,East,63,3880.98
2026-11-15,Gadget-Y,West,279,12321.33
2026-12-16,Doohickey,Central,203,16979.73
2026-01-17,Widget-A,North,489,38907.67
2026-02-18,Widget-B,South,75,2709.81
2026-03-19,Gadget-X,East,148,14203.3
2026-04-20,Gadget-Y,West,41,1687.67
2026-05-21,Doohickey,Central,227,15669.24
2026-06-22,Widget-A,North,383,20340.03
2026-07-23,Widget-B,South,104,8788.59
2026-08-24,Gadget-X,East,139,13060.74
2026-09-25,Gadget-Y,West,357,12293.63
2026-10-26,Doohickey,Central,56,3662.45
2026-11-27,Widget-A,North,301,9489.14
2026-12-28,Widget-B,South,26,1827.15
2026-01-01,Gadget-X,East,272,8241.72
2026-02-02,Gadget-Y,West,120,1765.7
2026-03-03,Doohickey,Central,212,8419.88
2026-04-04,Widget-A,North,242,4607.45
2026-05-05,Widget-B,South,395,8833.0
2026-06-06,Gadget-X,East,494,29403.74
2026-07-07,Gadget-Y,West,476,11521.44
2026-08-08,Doohickey,Central,335,31537.87
2026-09-09,Widget-A,North,450,23761.34
2026-10-10,Widget-B,South,334,9332.31
2026-11-11,Gadget-X,East,494,17705.97
2026-12-12,Gadget-Y,West,147,10013.76
2026-01-13,Doohickey,Central,465,36816.49
2026-02-14,Widget-A,North,334,20595.11
2026-03-15,Widget-B,South,274,20953.27
2026-04-16,Gadget-X,East,436,41110.55
2026-05-17,Gadget-Y,West,468,43487.67
2026-06-18,Doohickey,Central,214,19129.9
2026-07-19,Widget-A,North,91,8557.92
2026-08-20,Widget-B,South,19,1894.97
2026-09-21,Gadget-X,East,204,16504.92
2026-10-22,Gadget-Y,West,96,9051.34
2026-11-23,Doohickey,Central,493,43628.61
2026-12-24,Widget-A,North,149,13245.64
2026-01-25,Widget-B,South,5,184.23
2026-02-26,Gadget-X,East,309,6070.94
2026-03-27,Gadget-Y,West,172,6123.29
2026-04-28,Doohickey,Central,329,19373.84
2026-05-01,Widget-A,North,253,22775.92
2026-06-02,Widget-B,South,69,5974.39
2026-07-03,Gadget-X,East,240,8290.88
2026-08-04,Gadget-Y,West,415,8353.21
2026-09-05,Doohickey,Central,84,6366.42
2026-10-06,Widget-A,North,332,11003.75
2026-11-07,Widget-B,South,96,1080.73
2026-12-08,Gadget-X,East,173,14040.52
2026-01-09,Gadget-Y,West,291,20569.66
2026-02-10,Doohickey,Central,99,2552.67
2026-03-11,Widget-A,North,439,29621.67
2026-04-12,Widget-B,South,208,17559.17
2026-05-13,Gadget-X,East,264,10428.9
2026-06-14,Gadget-Y,West,206,14465.94
2026-07-15,Doohickey,Central,95,9342.46
2026-08-16,Widget-A,North,245,9582.97
2026-09-17,Widget-B,South,128,1357.4
2026-10-18,Gadget-X,East,197,6143.82
2026-11-19,Gadget-Y,West,386,13131.52
2026-12-20,Doohickey,Central,169,6280.91
2026-01-21,Widget-A,North,371,22834.66
2026-02-22,Widget-B,South,134,9222.08
2026-03-23,Gadget-X,East,355,11096.32
2026-04-24,Gadget-Y,West,342,7055.54
2026-05-25,Doohickey,Central,158,3849.59
2026-06-26,Widget-A,North,352,19436.33
2026-07-27,Widget-B,South,459,41260.49
2026-08-28,Gadget-X,East,395,15001.32
2026-09-01,Gadget-Y,West,61,4115.92
2026-10-02,Doohickey,Central,482,17613.91
2026-11-03,Widget-A,North,315,9407.93
2026-12-04,Widget-B,South,491,10807.49
2026-01-05,Gadget-X,East,79,4024.11
2026-02-06,Gadget-Y,West,311,13564.65
2026-03-07,Doohickey,Central,360,21391.6
2026-04-08,Widget-A,North,242,18912.67
2026-05-09,Widget-B,South,411,28670.74
2026-06-10,Gadget-X,East,112,8798.42
2026-07-11,Gadget-Y,West,349,27192.88
2026-08-12,Doohickey,Central,448,36222.31
2026-09-13,Widget-A,North,270,13553.28
2026-10-14,Widget-B,South,361,15360.78
2026-11-15,Gadget-X,East,470,28559.64
2026-12-16,Gadget-Y,West,32,2706.55
2026-01-17,Doohickey,Central,463,25689.02
2026-02-18,Widget-A,North,294,17137.09
2026-03-19,Widget-B,South,85,3359.25
2026-04-20,Gadget-X,East,267,13284.76
2026-05-21,Gadget-Y,West,349,9938.17
2026-06-22,Doohickey,Central,299,16141.37
2026-07-23,Widget-A,North,461,25780.86
2026-08-24,Widget-B,South,415,6223.85
2026-09-25,Gadget-X,East,68,3820.4
2026-10-26,Gadget-Y,West,234,14213.63
2026-11-27,Doohickey,Central,287,14810.36
2026-12-28,Widget-A,North,414,15618.26
2026-01-01,Widget-B,South,12,547.5
2026-02-02,Gadget-X,East,419,4299.52
2026-03-03,Gadget-Y,West,112,6948.26
2026-04-04,Doohickey,Central,24,1154.95
2026-05-05,Widget-A,North,359,5646.49
2026-06-06,Widget-B,South,31,2917.18
2026-07-07,Gadget-X,East,36,3554.72
2026-08-08,Gadget-Y,West,242,3108.77
2026-09-09,Doohickey,Central,210,5499.55
2026-10-10,Widget-A,North,70,5524.01
2026-11-11,Widget-B,South,374,25476.61
2026-12-12,Gadget-X,East,216,9437.36
2026-01-13,Gadget-Y,West,457,20296.82
2026-02-14,Doohickey,Central,446,41268.54
2026-03-15,Widget-A,North,194,8496.83
2026-04-16,Widget-B,South,350,33867.05
2026-05-17,Gadget-X,East,448,26220.11
2026-06-18,Gadget-Y,West,335,29284.29
2026-07-19,Doohickey,Central,61,1589.21
2026-08-20,Widget-A,North,276,12520.82
2026-09-21,Widget-B,South,66,4982.82
2026-10-22,Gadget-X,East,115,9789.25
2026-11-23,Gadget-Y,West,388,4670.04
2026-12-24,Doohickey,Central,153,7904.03
2026-01-25,Widget-A,North,369,21767.34
2026-02-26,Widget-B,South,273,12046.09
2026-03-27,Gadget-X,East,118,3807.4
2026-04-28,Gadget-Y,West,178,4263.26
2026-05-01,Doohickey,Central,97,9152.62
2026-06-02,Widget-A,North,372,29344.88
2026-07-03,Widget-B,South,17,1408.33
2026-08-04,Gadget-X,East,215,14046.61
2026-09-05,Gadget-Y,West,480,42973.49
2026-10-06,Doohickey,Central,9,284.85
2026-11-07,Widget-A,North,35,667.47
2026-12-08,Widget-B,South,18,903.05
2026-01-09,Gadget-X,East,345,25283.59
2026-02-10,Gadget-Y,West,25,800.4
2026-03-11,Doohickey,Central,23,1062.46
2026-04-12,Widget-A,North,120,7028.21
2026-05-13,Widget-B,South,387,33949.85
2026-06-14,Gadget-X,East,29,655.46
2026-07-15,Gadget-Y,West,149,4628.62
2026-08-16,Doohickey,Central,470,35638.49
2026-09-17,Widget-A,North,164,10161.89
2026-10-18,Widget-B,South,396,27925.08
2026-11-19,Gadget-X,East,165,5166.37
2026-12-20,Gadget-Y,West,449,10274.66
2026-01-21,Doohickey,Central,339,19289.98
2026-02-22,Widget-A,North,212,7851.44
2026-03-23,Widget-B,South,32,1923.03
2026-04-24,Gadget-X,East,303,27016.77
2026-05-25,Gadget-Y,West,467,12026.18
2026-06-26,Doohickey,Central,348,16856.44
2026-07-27,Widget-A,North,254,3609.23
2026-08-28,Widget-B,South,177,16767.7
2026-09-01,Gadget-X,East,344,15237.11
2026-10-02,Gadget-Y,West,269,10403.87
2026-11-03,Doohickey,Central,214,10000.93
2026-12-04,Widget-A,North,154,6756.2
2026-01-05,Widget-B,South,387,22602.17
2026-02-06,Gadget-X,East,124,10717.4
2026-03-07,Gadget-Y,West,154,13423.98
2026-04-08,Doohickey,Central,74,6105.73
2026-05-09,Widget-A,North,469,7117.62
2026-06-10,Widget-B,South,212,20583.24
2026-07-11,Gadget-X,East,286,16499.13
2026-08-12,Gadget-Y,West,199,6337.61
2026-09-13,Doohickey,Central,105,4169.94
2026-10-14,Widget-A,North,41,3812.6
2026-11-15,Widget-B,South,434,18829.95
2026-12-16,Gadget-X,East,275,20680.72
2026-01-17,Gadget-Y,West,98,1433.57
2026-02-18,Doohickey,Central,194,13700.37
2026-03-19,Widget-A,North,309,4186.73
2026-04-20,Widget-B,South,38,1023.14
2026-05-21,Gadget-X,East,390,24520.29
2026-06-22,Gadget-Y,West,344,20738.57
2026-07-23,Doohickey,Central,246,7082.34
2026-08-24,Widget-A,North,465,18579.91
2026-09-25,Widget-B,South,490,44981.74
2026-10-26,Gadget-X,East,109,10282.45
2026-11-27,Gadget-Y,West,493,37824.32
2026-12-28,Doohickey,Central,383,38281.42
2026-01-01,Widget-A,North,246,22703.27
2026-02-02,Widget-B,South,357,22985.85
2026-03-03,Gadget-X,East,105,4797.12
2026-04-04,Gadget-Y,West,123,7340.29
2026-05-05,Doohickey,Central,398,14115.2
2026-06-06,Widget-A,North,239,13866.42
2026-07-07,Widget-B,South,184,6945.63
2026-08-08,Gadget-X,East,185,10386.55
2026-09-09,Gadget-Y,West,255,13242.24
2026-10-10,Doohickey,Central,412,40503.17
2026-11-11,Widget-A,North,241,18927.32
2026-12-12,Widget-B,South,164,15133.88
2026-01-13,Gadget-X,East,190,7249.07
2026-02-14,Gadget-Y,West,24,1454.81
2026-03-15,Doohickey,Central,114,8744.11
2026-04-16,Widget-A,North,9,301.14
2026-05-17,Widget-B,South,479,29962.83
2026-06-18,Gadget-X,East,369,17554.08
2026-07-19,Gadget-Y,West,79,2184.13
2026-08-20,Doohickey,Central,118,5212.72
2026-09-21,Widget-A,North,427,13709.13
2026-10-22,Widget-B,South,282,19431.13
2026-11-23,Gadget-X,East,351,14170.15
2026-12-24,Gadget-Y,West,391,32817.91
2026-01-25,Doohickey,Central,495,37179.56
2026-02-26,Widget-A,North,379,20520.43
2026-03-27,Widget-B,South,87,6606.74
2026-04-28,Gadget-X,East,181,4565.53
2026-05-01,Gadget-Y,West,369,21837.11
2026-06-02,Doohickey,Central,95,8788.54
2026-07-03,Widget-A,North,278,27555.11
2026-08-04,Widget-B,South,491,7500.46
2026-09-05,Gadget-X,East,18,1539.11
2026-10-06,Gadget-Y,West,39,3707.22
2026-11-07,Doohickey,Central,343,4924.21
2026-12-08,Widget-A,North,4,188.42
2026-01-09,Widget-B,South,432,28837.36
2026-02-10,Gadget-X,East,35,2577.23
2026-03-11,Gadget-Y,West,5,148.37
2026-04-12,Doohickey,Central,234,10197.27
2026-05-13,Widget-A,North,317,21361.23
2026-06-14,Widget-B,South,479,31363.36
2026-07-15,Gadget-X,East,248,17192.75
2026-08-16,Gadget-Y,West,9,95.27
2026-09-17,Doohickey,Central,283,13303.96
2026-10-18,Widget-A,North,9,518.74
2026-11-19,Widget-B,South,141,8207.11
2026-12-20,Gadget-X,East,147,1695.33
2026-01-21,Gadget-Y,West,417,30356.48
2026-02-22,Doohickey,Central,221,18242.47
2026-03-23,Widget-A,North,466,12173.79
2026-04-24,Widget-B,South,471,8788.04
2026-05-25,Gadget-X,East,77,2439.14
2026-06-26,Gadget-Y,West,318,18243.99
2026-07-27,Doohickey,Central,418,17509.89
2026-08-28,Widget-A,North,408,18649.96
2026-09-01,Widget-B,South,192,18494.75
2026-10-02,Gadget-X,East,236,14358.29
2026-11-03,Gadget-Y,West,357,10823.22
2026-12-04,Doohickey,Central,351,29664.97
2026-01-05,Widget-A,North,42,2890.7
2026-02-06,Widget-B,South,440,30131.42
2026-03-07,Gadget-X,East,17,312.89
2026-04-08,Gadget-Y,West,195,8567.38
2026-05-09,Doohickey,Central,244,3669.84
2026-06-10,Widget-A,North,5,366.23
2026-07-11,Widget-B,South,43,2364.02
2026-08-12,Gadget-X,East,223,15171.06
2026-09-13,Gadget-Y,West,170,10355.91
2026-10-14,Doohickey,Central,440,42959.65
2026-11-15,Widget-A,North,459,26403.67
2026-12-16,Widget-B,South,22,674.72
2026-01-17,Gadget-X,East,462,40711.68
2026-02-18,Gadget-Y,West,455,27755.26
2026-03-19,Doohickey,Central,139,1971.1
2026-04-20,Widget-A,North,39,2791.95
2026-05-21,Widget-B,South,144,13093.64
2026-06-22,Gadget-X,East,289,20004.53
2026-07-23,Gadget-Y,West,92,8609.27
2026-08-24,Doohickey,Central,162,1846.68
2026-09-25,Widget-A,North,107,6722.09
2026-10-26,Widget-B,South,386,32366.94
2026-11-27,Gadget-X,East,421,19297.23
2026-12-28,Gadget-Y,West,40,1477.0
2026-01-01,Doohickey,Central,289,9141.79
2026-02-02,Widget-A,North,428,36996.24
2026-03-03,Widget-B,South,347,31465.03
2026-04-04,Gadget-X,East,170,7571.15
2026-05-05,Gadget-Y,West,379,8559.92
2026-06-06,Doohickey,Central,353,26533.15
2026-07-07,Widget-A,North,257,19809.84
2026-08-08,Widget-B,South,178,2638.44
2026-09-09,Gadget-X,East,224,6917.78
2026-10-10,Gadget-Y,West,39,1585.09
2026-11-11,Doohickey,Central,394,25703.72
2026-12-12,Widget-A,North,305,13936.45
2026-01-13,Widget-B,South,397,15627.47
2026-02-14,Gadget-X,East,325,11241.57
2026-03-15,Gadget-Y,West,231,12507.34
2026-04-16,Doohickey,Central,183,10936.7
2026-05-17,Widget-A,North,193,9429.27
2026-06-18,Widget-B,South,349,21888.85
2026-07-19,Gadget-X,East,195,3451.98
2026-08-20,Gadget-Y,West,317,11594.01
2026-09-21,Doohickey,Central,127,9419.56
2026-10-22,Widget-A,North,43,1466.62
2026-11-23,Widget-B,South,195,14437.98
2026-12-24,Gadget-X,East,325,7759.35
2026-01-25,Gadget-Y,West,200,7698.21
2026-02-26,Doohickey,Central,55,1002.48
2026-03-27,Widget-A,North,483,18225.56
2026-04-28,Widget-B,South,185,14524.57
2026-05-01,Gadget-X,East,53,1161.53
2026-06-02,Gadget-Y,West,96,4682.7
2026-07-03,Doohickey,Central,286,17136.15
2026-08-04,Widget-A,North,209,4030.85
2026-09-05,Widget-B,South,46,1924.75
2026-10-06,Gadget-X,East,48,3058.23
2026-11-07,Gadget-Y,West,402,15753.87
2026-12-08,Doohickey,Central,198,2197.93
2026-01-09,Widget-A,North,212,9517.1
2026-02-10,Widget-B,South,44,3309.94
2026-03-11,Gadget-X,East,287,26248.64
2026-04-12,Gadget-Y,West,125,7683.3
2026-05-13,Doohickey,Central,87,6235.15
2026-06-14,Widget-A,North,87,1956.25
2026-07-15,Widget-B,South,155,5292.72
2026-08-16,Gadget-X,East,75,1176.3
2026-09-17,Gadget-Y,West,223,7766.32
2026-10-18,Doohickey,Central,154,8249.91
2026-11-19,Widget-A,North,40,1699.65
2026-12-20,Widget-B,South,484,15576.62
2026-01-21,Gadget-X,East,321,17530.52
2026-02-22,Gadget-Y,West,316,8718.23
2026-03-23,Doohickey,Central,55,1220.12
2026-04-24,Widget-A,North,4,381.54
2026-05-25,Widget-B,South,171,14660.72
2026-06-26,Gadget-X,East,195,16059.59
2026-07-27,Gadget-Y,West,169,8384.1
2026-08-28,Doohickey,Central,221,18427.6
2026-09-01,Widget-A,North,441,30245.24
2026-10-02,Widget-B,South,305,6783.57
2026-11-03,Gadget-X,East,165,10606.04
2026-12-04,Gadget-Y,West,356,9991.72
2026-01-05,Doohickey,Central,161,4182.35
2026-02-06,Widget-A,North,204,19823.76
2026-03-07,Widget-B,South,150,11419.3
2026-04-08,Gadget-X,East,325,17608.71
2026-05-09,Gadget-Y,West,295,23708.47
2026-06-10,Doohickey,Central,167,7320.44
2026-07-11,Widget-A,North,419,33820.84
2026-08-12,Widget-B,South,187,3784.86
2026-09-13,Gadget-X,East,289,8083.91
2026-10-14,Gadget-Y,West,280,7331.37
2026-11-15,Doohickey,Central,394,23442.58
2026-12-16,Widget-A,North,488,36814.33
2026-01-17,Widget-B,South,483,35617.89
2026-02-18,Gadget-X,East,225,18400.88
2026-03-19,Gadget-Y,West,426,30819.04
2026-04-20,Doohickey,Central,420,36242.18
2026-05-21,Widget-A,North,408,19099.6
2026-06-22,Widget-B,South,256,5764.13
2026-07-23,Gadget-X,East,156,4956.42
2026-08-24,Gadget-Y,West,338,8065.66
2026-09-25,Doohickey,Central,217,17578.5
2026-10-26,Widget-A,North,38,1915.43
2026-11-27,Widget-B,South,307,16308.18
2026-12-28,Gadget-X,East,206,11965.11
2026-01-01,Gadget-Y,West,473,43906.37
2026-02-02,Doohickey,Central,355,16911.16
2026-03-03,Widget-A,North,19,1541.94
2026-04-04,Widget-B,South,185,13530.36
2026-05-05,Gadget-X,East,416,24257.6
2026-06-06,Gadget-Y,West,327,30177.56
2026-07-07,Doohickey,Central,56,4434.97
2026-08-08,Widget-A,North,337,23526.8
2026-09-09,Widget-B,South,86,5866.92
2026-10-10,Gadget-X,East,23,1395.64
2026-11-11,Gadget-Y,West,331,23488.58
2026-12-12,Doohickey,Central,205,19885.62
2026-01-13,Widget-A,North,170,16473.77
2026-02-14,Widget-B,South,221,4315.03
2026-03-15,Gadget-X,East,51,1697.1
2026-04-16,Gadget-Y,West,262,20228.17
2026-05-17,Doohickey,Central,286,17799.68
2026-06-18,Widget-A,North,295,8815.44
2026-07-19,Widget-B,South,192,8676.88
2026-08-20,Gadget-X,East,396,28175.4
2026-09-21,Gadget-Y,West,354,19481.3
2026-10-22,Doohickey,Central,177,17661.63
2026-11-23,Widget-A,North,248,4811.06
2026-12-24,Widget-B,South,213,19774.77
2026-01-25,Gadget-X,East,44,899.19
2026-02-26,Gadget-Y,West,482,36489.12
